Servis Adı,Servis UUID,Karakteristik Adı,Karakteristik UUID,Veri Tipi,Default Değer,Açıklama/Birim,Min/Max,Okuma/Yazma,BLE Client'tan Yazılabilir mi,NVS'de Saklanıyor mu?,Cihaz Resetinde Sıfırlanır mı,Saklanmalı mı?
Modbus,0000a400-0000-1000-8000-00805f9b34fb,Response,0000a40c-0000-1000-8000-00805f9b34fb,binary,-,Query/BulkWrite cevabı (notify; BulkWrite hata: failRangeIndex),-,R/N,Hayır,Hayır,Evet,Hayır
Modbus,0000a400-0000-1000-8000-00805f9b34fb,Subscribe,0000a40d-0000-1000-8000-00805f9b34fb,binary,-,0x01 continuous / 0x02 one-shot; sum(qty)<=128; ranges<=16; BE,-,W,Evet,Hayır,Evet,Hayır
Modbus,0000a400-0000-1000-8000-00805f9b34fb,Stream,0000a40e-0000-1000-8000-00805f9b34fb,binary,-,Snapshot stream notify (chunk max 495; DLE/2M PHY),-,R/N,Hayır,Hayır,Evet,Hayır
Modbus,0000a400-0000-1000-8000-00805f9b34fb,BulkWrite,0000a40f-0000-1000-8000-00805f9b34fb,binary,-,Toplu yazma opcode 0x20; sum(qty)<=64; paket<=400; BE,-,W,Evet,Hayır,Evet,Hayır
Work Mode,0000a500-0000-1000-8000-00805f9b34fb,Heartbeat,0000a501-0000-1000-8000-00805f9b34fb,String,60 sn,Kalp atışı,-,R/W,Evet,Hayır,Hayır,Evet
Work Mode,0000a500-0000-1000-8000-00805f9b34fb,Sensor Enable,0000a502-0000-1000-8000-00805f9b34fb,bool,1,Sensör aktif,0/1,R/W,Evet,Hayır,Hayır,Evet
Work Mode,0000a500-0000-1000-8000-00805f9b34fb,SOS Mode,0000a503-0000-1000-8000-00805f9b34fb,bool,0,SOS modu,0/1,R/W,Evet,Hayır,Hayır,Evet
Work Mode,0000a500-0000-1000-8000-00805f9b34fb,Work Mode,0000a504-0000-1000-8000-00805f9b34fb,String,Periodic,Çalışma modu,-,R/W,Evet,Hayır,Hayır,Evet
Work Mode,0000a500-0000-1000-8000-00805f9b34fb,Uplink Interval,0000a505-0000-1000-8000-00805f9b34fb,String,300 sn,Uplink süresi,-,R/W,Evet,Hayır,Hayır,Evet
IMU,0000a600-0000-1000-8000-00805f9b34fb,Accel X,0000a601-0000-1000-8000-00805f9b34fb,String,0.0 g,İvme,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Accel Y,0000a602-0000-1000-8000-00805f9b34fb,String,0.0 g,İvme,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Accel Z,0000a603-0000-1000-8000-00805f9b34fb,String,0.0 g,İvme,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Gyro X,0000a604-0000-1000-8000-00805f9b34fb,String,0.0 dps,Gyro,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Gyro Y,0000a605-0000-1000-8000-00805f9b34fb,String,0.0 dps,Gyro,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Gyro Z,0000a606-0000-1000-8000-00805f9b34fb,String,0.0 dps,Gyro,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Mag X,0000a607-0000-1000-8000-00805f9b34fb,String,0.0 uT,Manyetometre,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Mag Y,0000a608-0000-1000-8000-00805f9b34fb,String,0.0 uT,Manyetometre,-,R,Hayır,Hayır,Evet,Hayır
IMU,0000a600-0000-1000-8000-00805f9b34fb,Mag Z,0000a609-0000-1000-8000-00805f9b34fb,String,0.0 uT,Manyetometre,-,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,Lat,0000a701-0000-1000-8000-00805f9b34fb,String,0.0,Enlem,-,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,Lon,0000a702-0000-1000-8000-00805f9b34fb,String,0.0,Boylam,-,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,Alt,0000a703-0000-1000-8000-00805f9b34fb,String,0.0 m,Altitude,-,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,Speed,0000a704-0000-1000-8000-00805f9b34fb,String,0.0 km/h,Hız,-,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,Fix,0000a705-0000-1000-8000-00805f9b34fb,String,0 (No Fix),GPS Fix,-,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,SatCount,0000a706-0000-1000-8000-00805f9b34fb,uint8,0,Uydu sayısı,0-24,R,Hayır,Hayır,Evet,Hayır
GPS,0000a700-0000-1000-8000-00805f9b34fb,UTC,0000a707-0000-1000-8000-00805f9b34fb,String,00:00:00,Zaman,-,R,Hayır,Hayır,Evet,Hayır
Buzzer,0000a900-0000-1000-8000-00805f9b34fb,State,0000a901-0000-1000-8000-00805f9b34fb,bool,0,Açık/Kapalı,0/1,R/W,Evet,Hayır,Hayır,Evet
Buzzer,0000a900-0000-1000-8000-00805f9b34fb,Pattern,0000a902-0000-1000-8000-00805f9b34fb,uint8,0,Bip deseni,0-255,R/W,Evet,Hayır,Hayır,Evet
Buzzer,0000a900-0000-1000-8000-00805f9b34fb,Freq,0000a903-0000-1000-8000-00805f9b34fb,String,4000 Hz,Çıkış frekansı,-,R/W,Evet,Hayır,Hayır,Evet
Button,0000aa00-0000-1000-8000-00805f9b34fb,State,0000aa01-0000-1000-8000-00805f9b34fb,bool,0,Buton durumu,0/1,R,Hayır,Hayır,Evet,Hayır
Button,0000aa00-0000-1000-8000-00805f9b34fb,Count,0000aa02-0000-1000-8000-00805f9b34fb,uint32,0,Basılma sayısı,0-4294967295,R,Hayır,Hayır,Evet,Evet (opsiyonel)
Button,0000aa00-0000-1000-8000-00805f9b34fb,Last Time,0000aa03-0000-1000-8000-00805f9b34fb,uint32,0,Son basılma ts,0-4294967295,R,Hayır,Hayır,Evet,Evet (opsiyonel)
LED,0000ab00-0000-1000-8000-00805f9b34fb,State,0000ab01-0000-1000-8000-00805f9b34fb,bool,0,Açık/Kapalı,0/1,R/W,Evet,Hayır,Hayır,Evet
LED,0000ab00-0000-1000-8000-00805f9b34fb,Mode,0000ab02-0000-1000-8000-00805f9b34fb,uint8,0,Mod,0-255,R/W,Evet,Hayır,Hayır,Evet
LED,0000ab00-0000-1000-8000-00805f9b34fb,Brightness,0000ab03-0000-1000-8000-00805f9b34fb,String,100,Parlaklık (%),0-100,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO0 Value,0000a801-0000-1000-8000-00805f9b34fb,bool,0,Pin değeri,0/1,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO0 Direction,0000b801-0000-1000-8000-00805f9b34fb,uint8,1,Pin yönü,0/1/2,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO0 MUX,0000c801-0000-1000-8000-00805f9b34fb,uint8,1,Pin fonksiyonu,0/1,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO4 Value,0000a805-0000-1000-8000-00805f9b34fb,bool,0,Pin değeri,0/1,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO4 Direction,0000b805-0000-1000-8000-00805f9b34fb,uint8,1,Pin yönü,0/1/2,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO4 MUX,0000c805-0000-1000-8000-00805f9b34fb,uint8,1,Pin fonksiyonu,0/1,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO15 Value,0000a802-0000-1000-8000-00805f9b34fb,bool,0,Pin değeri,0/1,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO15 Direction,0000b802-0000-1000-8000-00805f9b34fb,uint8,1,Pin yönü,0/1/2,R/W,Evet,Hayır,Hayır,Evet
GPIO,0000a800-0000-1000-8000-00805f9b34fb,GPIO15 MUX,0000c802-0000-1000-8000-00805f9b34fb,uint8,1,Pin fonksiyonu,0/1,R/W,Evet,Hayır,Hayır,Evet
